book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
6017209b-68b7-4f27-8202-12994b66d4fe,69457497-416f-454a-883f-b36fa8032f8e,20,Title-6017209,47,2006-08-19T00:00:00.000Z,createdBy.44vdh@example.net,2021-09-15T00:00:00.000Z,modifiedBy.44vdh@example.net
12086663-768a-4da6-8fb8-18503ec5c602,69457506-d358-4b15-a45f-ca176d4a3bcf,24,title-6945750,7,2008-11-21T00:00:00.000Z,createdBy.44vdi@example.net,2006-09-10T00:00:00.000Z,modifiedBy.44vdi@example.org
12086664-7183-4447-9acd-3d9f075a6680,25728461-f9f8-415a-b8aa-69db16cee09e,37,title-25728461,67,2011-04-02T00:00:00.000Z,createdBy.fbg7h@example.org,2003-09-02T00:00:00.000Z,modifiedBy.fbg7h@example.com
12086664-7183-4447-9acd-3d9f075a6680,25728462-cc40-4d52-99a2-1218bf34633f,0,title-25728462,100,2018-06-21T00:00:00.000Z,createdBy.fbg7i@example.net,2001-11-26T00:00:00.000Z,modifiedBy.fbg7i@example.net
12086665-39c1-41ce-b973-50a23e695592,13422254-d13b-4b22-aa40-88d70ee410d7,52,title-13422254,31,2002-10-07T00:00:00.000Z,createdBy.7zooe@example.org,2013-06-14T00:00:00.000Z,modifiedBy.7zooe@example.com
12086665-39c1-41ce-b973-50a23e695592,13422255-1652-4a7a-9c07-c9eb079edf85,78,title-13422255,58,2016-08-11T00:00:00.000Z,createdBy.7zoof@example.com,2010-01-16T00:00:00.000Z,modifiedBy.7zoof@example.net
12086666-2191-4be5-ac3a-d2271891db3a,20237207-b03b-4799-a6eb-cfa6fb8e45c1,70,title-20237207,39,2013-12-13T00:00:00.000Z,createdBy.c1r4n@example.net,2018-05-08T00:00:00.000Z,modifiedBy.c1r4n@example.org
12086666-2191-4be5-ac3a-d2271891db3a,20237208-cd7f-4f74-ba7f-06731e7290ff,75,title-20237208,95,2006-11-18T00:00:00.000Z,createdBy.c1r4o@example.org,2007-02-09T00:00:00.000Z,modifiedBy.c1r4o@example.org
12086667-dc82-4e27-a78f-5f5689206ca9,21880467-3c37-433b-b26d-d2b31f5ff42c,98,title-21880467,90,2000-07-14T00:00:00.000Z,createdBy.d0z2r@example.org,2022-06-16T00:00:00.000Z,modifiedBy.d0z2r@example.net
12086667-dc82-4e27-a78f-5f5689206ca9,21880468-29d5-4e28-bada-7eb880d440ef,57,title-21880468,32,2007-04-26T00:00:00.000Z,createdBy.d0z2s@example.org,2014-06-08T00:00:00.000Z,modifiedBy.d0z2s@example.org
